id,created_at,text,retweet_count,reply_count,like_count,quote_count,possibly_sensitive
1496696334769963013,"02/24/2022, 03:59:48","Footage from Dnepropetrovsk, #Ukraine.  

Looks like MLRS fire. (Aurora Intel) https://t.co/WbFjqK2en2",2,0,3,1,False
1496696332974706694,"02/24/2022, 03:59:47","Explosions in #Kharkiv , #Kyiv. Our hearts go out to the people of #Ukraine, we pray for your safety.
#RussiaUkraineConflict #RussiaUkraineCrisis #RussiaUcraina #RussiaReport #Russia #Russians https://t.co/Ps3O0V9lcD",0,0,0,0,False
1496696332160880644,"02/24/2022, 03:59:47","To whom #Russia want to teach a lesson. 
#Ukraine #America #BidenIsAFailure #UkraineRussie #UkraineRussiaCrisis #RussiaUkraineConflict #UkraineCrisis",0,1,0,0,False
1496696329854242818,"02/24/2022, 03:59:46","'O Your Royal Highness Prince Mohammed Bin Salman Bin Abdul Aziz,..'
Imam Nasser Mohammed Al-Yamani
26 Jan. 2022

https://t.co/JeeaF7V0Qh https://t.co/LwXHSqwysZ
#Ukraine",0,0,5,0,False
1496696325294858242,"02/24/2022, 03:59:45","@thevirdas We live in a world where #WHO couldn't provide proper info on the pandemic and #UN couldn't convince #Russia to stop ..

 #RussiaUkraineConflict #UnitedNations #Ukraine #UkraineRussiaCrisis #UkraineCrisis",1,1,18,0,False
1496696324518907905,"02/24/2022, 03:59:45","What is worse;

1) #COVID19 VAXXES
2) WAR WITH #Ukraine 

#BidenIsAFailure PUTIN #Bitcoin #NFT https://t.co/LcSUsQPBUe",0,0,0,0,False
1496696322740604931,"02/24/2022, 03:59:45",Hey Putin!!! Go fuck yourself!!!! #warinukraine #UkraineRussiaConflict #ukraine #UkraineRussia,0,0,0,0,False
1496696320945393668,"02/24/2022, 03:59:44",I am beyond sadness. Tears are flowing for #Ukraine. Who can stop Putin? #Russia #prayingforpeace,4,2,15,1,False
1496696318605107203,"02/24/2022, 03:59:44",How is it possible that the Russian ambassador to the @UN is the President of the UN Security Council?  #russia attacked #ukraine tonight.  #russia should be expelled from the UN.  #RussiaUkraineConflict #InternationalLaw,2,0,3,0,False
1496696318206611458,"02/24/2022, 03:59:44","#Russia is attacking #Ukraine 
Russia demanded security guarantees and a confirmation that Ukraine will not be allowed to join #NATO 
World leaders decided its better to allow a war to break-out rather than defusing the bomb.
World did not learn that pressure leads to explosion",0,1,3,0,False
1496696317564833793,"02/24/2022, 03:59:44",Still remember the jubilation of the wall coming down in ‘89….thinking we could escape the despair I’m feeling now. 🇺🇦 #Ukraine,0,0,5,0,False
1496696316042543106,"02/24/2022, 03:59:43","JUST IN - Russia attacks #Ukraine: Explosions are reported in the capital Kyiv, in the second-largest city Kharkiv, in Mariupol, and in the port city of Odesa. 
#Crimea #Donestk #WW3",0,0,1,0,False
1496696315413204995,"02/24/2022, 03:59:43","America if you want to help #ukraine you need to sort your own problems out first, more unity less partisan bs , get back to reason and core values and stop being manipulated by Putin. He’s playing chess and you’re playing catch, not even checkers",0,0,1,0,False
1496696311017615362,"02/24/2022, 03:59:42",Statement by President Biden on Russia’s Unprovoked and Unjustified Attack on #Ukraine | The White House https://t.co/G9oPX0ZCIk,0,0,0,0,False
1496696310614925314,"02/24/2022, 03:59:42",@mazdaki Follow me for quick ground videos and updates on Ukrain conflicts #UkraineConflict #Ukraine #RussiaUkraineConflict #Russian https://t.co/HWrW3sksIW,0,0,1,0,True
1496696310208024577,"02/24/2022, 03:59:42",@KevinRothrock @lapatina_ Follow me for quick ground videos and updates on Ukrain conflicts #UkraineConflict #Ukraine #RussiaUkraineConflict #Russian https://t.co/1Etbxdo5GP,1,0,4,0,True
1496696309583024129,"02/24/2022, 03:59:42","Oh fuck, get ready tomorrow y’all! #stockmarketcrash #StockMarketindia #Ukraine #BREAKING #Russia https://t.co/AfvqIsKCPU",0,0,0,0,False
1496696309377556485,"02/24/2022, 03:59:42",@Conflicts @KevinRothrock Follow me for quick ground videos and updates on Ukrain conflicts #UkraineConflict #Ukraine #RussiaUkraineConflict #Russian https://t.co/lKNm9It0HT,10,1,13,0,True
1496696305665540097,"02/24/2022, 03:59:41",People trying to be funny while Putin launches an attack on Ukraine should be ashamed of themselves. How fking disgusting. #auspol #ukraine,0,0,1,0,False
1496696305644716036,"02/24/2022, 03:59:41",President Biden responds to Russia's attack on #Ukraine. https://t.co/PzOQrtxWKP https://t.co/koK9JDJTag,0,1,2,0,False
1496696303291547652,"02/24/2022, 03:59:40","#Russian President on record #declared #war...It's the responsibility of this body to stop this war. I call on everyone to stop the war. ""Should I play the video of your president calling the war,"" #Ukraine Representative to Russian Representative at UN emergency meeting",0,0,1,0,False
1496696302486310912,"02/24/2022, 03:59:40",@kylenabecker Follow me for quick ground videos and updates on Ukrain conflicts #UkraineConflict #Ukraine #RussiaUkraineConflict #Russian https://t.co/zozeeG8U3Z,3,0,1,0,True
1496696301433487361,"02/24/2022, 03:59:40",Prayers for #Ukraine,2,0,7,0,False
1496696300561072131,"02/24/2022, 03:59:39",@spectatorindex praying for people of #ukraine,0,0,0,0,False
1496696299474857984,"02/24/2022, 03:59:39","Looks like the invasion of #Ukraine has begun. #UkraineRussie 
https://t.co/3yrd5PGKXl",0,1,1,0,False
1496696299109953540,"02/24/2022, 03:59:39","#BREAKING U.S. Senator Marco Rubio, Vice Chair of the Senate Intelligence Committee, tweets ""long range missile launches from #Russia are now underway,"" adds ""they are headed towards various pre-selected military sites throughout #Ukraine.""",0,1,0,0,False
1496696295745998848,"02/24/2022, 03:59:38",@IdeologyWars crazy videos of #Ukraine #Russia conflict,0,0,0,0,False
1496696293917396994,"02/24/2022, 03:59:38",🇺🇦 Dnepropetrovsk seems to have had a major arms depot struck. #Russia #Ukraine #UkraineWar #RussiaWar #Europe #EU #NATO #US [40] https://t.co/366GBOKakr,165,6,272,39,False
1496696293279817728,"02/24/2022, 03:59:38","Troopers have landed in Odessa and are crossing the border into Kharkiv where I am now, according to Anton Herashchenko, advisor to #Ukraine’s Ministry of Interior",1598,97,3662,138,False
1496696287995240449,"02/24/2022, 03:59:36","#Russia on Wednesday began evacuation of diplomatic personnel in #Ukraine, TASS News Agency reported, citing a source from the Russian embassy in Kyiv.",0,0,0,0,False
1496696285990117382,"02/24/2022, 03:59:36",Explosions in the capital of #Ukraine #Kiev after Putin has decided to invade his neighboring country.  5:09 AM the war between the two countries began #Russia #23Feb https://t.co/AlTegQXTuO,6,1,12,0,False
1496696283112767493,"02/24/2022, 03:59:35",@ApartmentBoss Please get this man on the show tomorrow to help explain this #Ukraine situation. https://t.co/cZO6ji31AM,0,0,0,0,False
1496696282617987072,"02/24/2022, 03:59:35","Putin attacking #Mariupol in #Ukraine.
#Breaking_News https://t.co/NM1TB1rWoS",0,0,0,0,False
1496696280881704961,"02/24/2022, 03:59:35","Several explosions have been reported in several Ukraine cities after Moscow launched special operation in Donbass. 
https://t.co/TK2Yrl1tOt #UkraineRussiaCrisis #RussiaUkraineConflict #Russia #Ukraine",5,0,37,1,False
1496696280701186052,"02/24/2022, 03:59:35",Putin is likely waiting to meet mass resistance on the ground before doing anything of a larger scale. He likely needs more fuel for the propaganda campaign. #Ukraine,0,0,0,0,False
1496696272669052933,"02/24/2022, 03:59:33",#Ukraine is now a No Fly Zone for all Commercial #Aviation Companies! #Airlines #UkraineRussiaConflict #UkraineRussia #UkraineConflict,2,0,1,0,False
1496696268088922112,"02/24/2022, 03:59:32","NATO'S STOLTENBERG SAYS WE STAND WITH THE PEOPLE OF UKRAINE AT THIS TERRIBLE TIME, NATO WILL DO ALL IT TAKES TO PROTECT AND DEFEND ALL ALLIES #News #Forex #UKRAINE",1,0,1,0,False
1496696266910093316,"02/24/2022, 03:59:31","I am utterly disgusted by #Trump, #TuckerCarlson, #Pompeo, and the rest of these Kremlin puppets giving aid and comfort to the enemies of both America and global peace tonight, as #putin begins his unprovoked war of aggression against Ukraine. America stands with #ukraine !",0,0,4,0,False
1496696265681543175,"02/24/2022, 03:59:31","More #ValimaiThePower to #Ukraine.

#RussiaUkraineConflict #UkraineRussiaCrisis #ValimaiUpdate",0,0,0,0,False
1496696264880054273,"02/24/2022, 03:59:31","#IStandWithUkraine #WTF #Putin??
Is it time YET to stop sending money to Israel that provides their #Dome and help the people of #Ukraine? https://t.co/fP472AG5QS",2,0,4,0,False
1496696264515526659,"02/24/2022, 03:59:31","#FLASH—Military base destroyed near #Kharkov, #Donbass.

#Ukraine #Russia",0,0,0,0,False
1496696259217969160,"02/24/2022, 03:59:30",Surreal to scroll through social media feed and find headline of #russia conducts military operations in #ukraine immediately followed by 22 years marking #jlo in green Versace dress My #priorities ? #mixedbag,0,0,0,0,False
1496696257884172296,"02/24/2022, 03:59:29",#Russia|n state-run media now saying there are explosions in #Kyiv #Odessa and other cities in #Ukraine https://t.co/uxCYhIrlWQ,1,1,2,0,False
1496696252641480704,"02/24/2022, 03:59:28",@francocatal Pray for #Ukraine,0,0,0,0,False
1496696250971787264,"02/24/2022, 03:59:28",@Stock_Hunter89 Pray for #Ukraine 🙏🙏🙏,0,0,2,0,False
1496696249835216897,"02/24/2022, 03:59:27",This is the most dangerous moment in human history since the Cuban Missile Crisis. So much for the Roaring Twenties. #Ukraine @BeschlossDC,0,0,3,0,False
1496696249734643712,"02/24/2022, 03:59:27","""Give strength to your people, O God, and bless your people with peace."" — Psalm 29:11

#PrayForPeace #Ukraine",24,2,81,1,False
1496696246488252422,"02/24/2022, 03:59:27",My how time flies #cnn #russia #ukraine #syria https://t.co/03mtuc3P5N,1,0,1,0,False
1496696246358224899,"02/24/2022, 03:59:27","Welp, here we go! I’m sitting here shaking my head at the thought of yet another useless war because of yet another egomaniacal dictator wanting to swing his dick. #Ukraine is a sovereign nation and should be included in NATO and receive  the backing of #NATO.",1,0,4,1,False
1496696245963870209,"02/24/2022, 03:59:26","World War 3 will be the end of humanity, as we know it. Maybe we deserve it. #ww3 #ukraine #StopRussianAggression #worldwar3",0,0,0,0,False
1496696245636771850,"02/24/2022, 03:59:26","#BREAKING NEWS | #RUSSIA #UKRAINE INVASION

A #Russian full Attack is underway

Explosions are reported in the city of  #Mariupol #Ukraine https://t.co/ZX3goFhIID",1,0,1,0,False
1496696243585634315,"02/24/2022, 03:59:26","Where have we heard the ""recognizing the independence of breakaway regions"" storyline before? 

#Ukraine 
#WWIII https://t.co/qSWZ5l3FH4",10,1,30,1,False
1496696241710764033,"02/24/2022, 03:59:25","09:28:24Fr:News                BIDEN TO GIVE REMARKS ON RUSSIA EARLY AFTERNOON THURSDAY 

@POTUS American Intelligence is a Massive Failure. None of their Reports suggested this on 24-Feb

#Ukraine #UkraineRussiaCrisis #UkraineWar",0,0,0,0,False
1496696240201150466,"02/24/2022, 03:59:25","Series of explosions heard in Belgorod province of Russia, says witness . 
#Putin #UkraineConflict #NandighoshaTV #UkraineRussie #UkraineRussiaCrisis
#Russia #Ukraine #Invasion #VladimirPutin #JoeBiden #World #News https://t.co/ADbKlNOC2z",3,0,9,0,False
1496696239940845575,"02/24/2022, 03:59:25","September 1, 1939 Germany invades #Poland , starting #worldwar2.

 February 24, 2022 #Russia invades #Ukraine... Remember this day . It will be historic...

#UkraineRussiaConflict",0,0,7,0,False
1496696238514663425,"02/24/2022, 03:59:25",@sandibachom So heartbreaking 💔 #Ukraine 🇺🇦 Stay Safe Stay Strong,0,0,0,0,False
1496696235083943938,"02/24/2022, 03:59:24","Putin has started a large-scale invasion of #Ukraine. The worst-case scenario we all feared.

Bombing and air strikes underway around the country. Reports of fighting in Boryspil airport. Russian forces rolling over border checkpoints in several locations. 

#StandWithUkraine https://t.co/lmTLUjbc53",4,1,1,0,False
1496696234337345538,"02/24/2022, 03:59:24",Pray for #Ukraine,0,0,0,0,False
1496696232617467907,"02/24/2022, 03:59:23",It feels like #WW3 just started. #RussianAggression #Ukraine https://t.co/GReHEZZhAZ,0,0,0,0,False
1496696227349811203,"02/24/2022, 03:59:22","#BREAKING: Ukrainian officials say that both ballistic and cruise missiles strikes have targeted sites in #Kyiv.

#UkraineRussiaCrisis #Ukraine #Russia",0,1,0,0,False
1496696223260049414,"02/24/2022, 03:59:21","4 / abcnews BREAKING: Russian Pres. #Putin #announced on state TV that #Russia wouldundertake what he called a ""special military operation"" in Ukraine. #russia #ukraine #breakingnews #news https://t.co/csVXeOKdQe",2,0,0,0,False
1496696220236259332,"02/24/2022, 03:59:20","""Never think that war, no matter how necessary, nor how justified, is not a crime.""
— Ernest Hemingway, 1946

#Russia #Ukraine #twentytwentytwo",2,0,1,0,False
1496696217685749764,"02/24/2022, 03:59:20","Ukraine Interior Ministry confirms that #Kyiv is under attack from cruise &amp; ballistic missiles. 
#RussiaUkraineConflict 
#Ukraine",1,1,2,0,False
1496696214322089986,"02/24/2022, 03:59:19","@spectatorindex Long range missile launches from #Russia are now underway

They are headed towards various pre-selected military sites throughout #Ukraine",0,0,0,0,False
1496696212849840131,"02/24/2022, 03:59:19",Reports the city of #Dnipro has also come under Russian bombardment. #Ukraine https://t.co/BFcyR0t9Jq,0,0,0,0,False
1496696212325793793,"02/24/2022, 03:59:18","Brent crude surges past $100 per barrel as Vladimir #Putin decides to conduct a special operation in #Ukraine. #RussiaUkrainConflict 

Read all market updates: https://t.co/X7GH39MdZf https://t.co/teEDob4XZQ",2,0,6,0,False
1496696211847323650,"02/24/2022, 03:59:18","Let’s see. Under #Biden, we have an open border, inflation is over the top, #COVID is still alive and well, gas prices are at record highs, oil almost $100 a barrel, and now, #Russia has invaded #Ukraine, But, hey, no mean tweets.",2,1,11,0,False
1496696210622750723,"02/24/2022, 03:59:18","BREAKING: Ukraine's operational command: ""cruise and ballistic missile strikes are underway at the control centres in Kyiv""- #Russia #Ukraine",0,0,0,0,False
1496696208777220099,"02/24/2022, 03:59:18","Strange.

Putin sounds just like Trump.

#polqc #polcan #Ukraine #russia #USA https://t.co/d9CcJaXASq",0,0,0,0,False
1496696249373925379,"02/24/2022, 03:59:27","Live footage from #Odessa now. 

#UkraineUnderAttack #UkraineCrisis #UkraineConflict https://t.co/rOOU0i8I0U",5,0,3,0,False
1496696006649565189,"02/24/2022, 03:58:29","Live footage from #Odessa now. 

#UkraineUnderAttack #UkraineCrisis #UkraineConflict https://t.co/lR4vyZZgYg",23,0,63,0,False
